Terraform Resources,AWS Resource,CRUD Operation,PolicyRule Required,,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:CreateLoadBalancerListeners,1.6.1,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:RegisterInstancesWithLoadBalancer,1.6.1,,,
aws_elb,ElasticLoadBalancer,CREATE,elasticloadbalancing:AddTags,1.6.1,,,
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeLoadBalancerAttributes,1.6.1,,,
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeLoadBalancers,1.6.1,,,
aws_elb,ElasticLoadBalancer,READ,elasticloadbalancing:DescribeTags,1.6.1,,,
aws_elb,ElasticLoadBalancer,UPDATE,elasticloadbalancing:ModifyLoadBalancerAttributes,1.6.1,,,
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeleteLoadBalancer,1.6.1,,,
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeleteLoadBalancerListeners,1.6.1,,,
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:DeregisterInstancesFromLoadBalancer,1.6.1,,,
aws_elb,ElasticLoadBalancer,DELETE,elasticloadbalancing:RemoveTags,1.6.1,,,
aws_iam_instance_profile,IamInstanceProfile,CREATE,iam:AddRoleToInstanceProfile,1.6.1,,,
aws_iam_instance_profile,IamInstanceProfile,CREATE,iam:CreateInstanceProfile,1.6.1,,,
aws_iam_instance_profile,IamInstanceProfile,READ,iam:GetInstanceProfile,1.6.1,,,
aws_iam_instance_profile,IamInstanceProfile,DELETE,iam:DeleteInstanceProfile,1.6.1,,,
aws_iam_instance_profile,IamInstanceProfile,DELETE,iam:RemoveRoleFromInstanceProfile,1.6.1,,,
